Solution:
Vessel 1, length: 21, position: 60, start: 8, end: 13, ncranes: 4, cranes: 7 8 9 10
Vessel 2, length: 18, position: 40, start: 11, end: 17, ncranes: 2, cranes: 5 6
Vessel 3, length: 26, position: 32, start: 17, end: 23, ncranes: 3, cranes: 5 6 7
Vessel 4, length: 22, position: 58, start: 13, end: 23, ncranes: 3, cranes: 8 9 10
Vessel 5, length: 30, position: 1, start: 12, end: 28, ncranes: 4, cranes: 1 2 3 4
Vessel 6, length: 23, position: 8, start: 28, end: 39, ncranes: 4, cranes: 1 2 3 4
Vessel 7, length: 29, position: 31, start: 23, end: 38, ncranes: 2, cranes: 5 6
Vessel 8, length: 22, position: 60, start: 23, end: 35, ncranes: 3, cranes: 7 8 9
Vessel 9, length: 19, position: 82, start: 23, end: 37, ncranes: 1, cranes: 10
Vessel 10, length: 18, position: 60, start: 35, end: 40, ncranes: 2, cranes: 7 8
Vessel 11, length: 21, position: 78, start: 37, end: 42, ncranes: 1, cranes: 10
Vessel 12, length: 14, position: 35, start: 41, end: 47, ncranes: 2, cranes: 3 4
Vessel 13, length: 8, position: 27, start: 43, end: 46, ncranes: 2, cranes: 1 2
Vessel 14, length: 8, position: 27, start: 47, end: 52, ncranes: 2, cranes: 1 2
Vessel 15, length: 40, position: 14, start: 52, end: 67, ncranes: 4, cranes: 1 2 3 4
Vessel 16, length: 20, position: 65, start: 57, end: 62, ncranes: 2, cranes: 9 10
Vessel 17, length: 11, position: 54, start: 57, end: 62, ncranes: 1, cranes: 5
Vessel 18, length: 23, position: 77, start: 62, end: 68, ncranes: 4, cranes: 7 8 9 10
Vessel 19, length: 18, position: 79, start: 74, end: 78, ncranes: 2, cranes: 9 10
Vessel 20, length: 14, position: 50, start: 77, end: 83, ncranes: 2, cranes: 5 6
Vessel 21, length: 24, position: 70, start: 78, end: 88, ncranes: 4, cranes: 7 8 9 10
Vessel 22, length: 13, position: 15, start: 79, end: 84, ncranes: 2, cranes: 1 2
Vessel 23, length: 30, position: 49, start: 88, end: 101, ncranes: 4, cranes: 5 6 7 8
Vessel 24, length: 21, position: 49, start: 83, end: 88, ncranes: 2, cranes: 5 6
Vessel 25, length: 13, position: 36, start: 80, end: 87, ncranes: 2, cranes: 3 4
Vessel 26, length: 19, position: 17, start: 84, end: 91, ncranes: 2, cranes: 1 2
Vessel 27, length: 12, position: 37, start: 87, end: 90, ncranes: 2, cranes: 3 4
Vessel 28, length: 8, position: 83, start: 89, end: 96, ncranes: 2, cranes: 9 10
Vessel 29, length: 30, position: 5, start: 91, end: 98, ncranes: 4, cranes: 1 2 3 4
Vessel 30, length: 11, position: 90, start: 96, end: 103, ncranes: 2, cranes: 9 10
Vessel 31, length: 14, position: 76, start: 102, end: 106, ncranes: 2, cranes: 2 3
Vessel 32, length: 30, position: 53, start: 106, end: 118, ncranes: 4, cranes: 7 8 9 10
Vessel 33, length: 32, position: 21, start: 110, end: 120, ncranes: 6, cranes: 1 2 3 4 5 6
Vessel 34, length: 27, position: 4, start: 120, end: 132, ncranes: 4, cranes: 1 2 3 4
Vessel 35, length: 26, position: 70, start: 118, end: 127, ncranes: 4, cranes: 7 8 9 10
Vessel 36, length: 15, position: 32, start: 120, end: 127, ncranes: 2, cranes: 5 6
Vessel 37, length: 30, position: 64, start: 127, end: 137, ncranes: 6, cranes: 5 6 7 8 9 10
Vessel 38, length: 9, position: 3, start: 132, end: 137, ncranes: 1, cranes: 1
Vessel 39, length: 25, position: 35, start: 140, end: 149, ncranes: 4, cranes: 3 4 5 6
Vessel 40, length: 8, position: 4, start: 141, end: 148, ncranes: 2, cranes: 1 2
Vessel 41, length: 15, position: 84, start: 144, end: 151, ncranes: 2, cranes: 9 10
Vessel 42, length: 14, position: 40, start: 149, end: 152, ncranes: 2, cranes: 3 4
Vessel 43, length: 16, position: 68, start: 146, end: 151, ncranes: 2, cranes: 7 8
Vessel 44, length: 11, position: 57, start: 149, end: 152, ncranes: 2, cranes: 5 6
Vessel 45, length: 25, position: 51, start: 152, end: 159, ncranes: 4, cranes: 5 6 7 8
Vessel 46, length: 10, position: 21, start: 150, end: 153, ncranes: 2, cranes: 1 2
Vessel 47, length: 20, position: 31, start: 152, end: 155, ncranes: 2, cranes: 3 4
Vessel 48, length: 22, position: 28, start: 155, end: 164, ncranes: 3, cranes: 1 2 3
Vessel 49, length: 11, position: 54, start: 159, end: 166, ncranes: 2, cranes: 9 10
Vessel 50, length: 16, position: 51, start: 166, end: 172, ncranes: 2, cranes: 1 2
